ID,Genus (iNat),species (iNat),Genus (eButt-new),species (eButt-new),NABA Genus,NABA species,count,Simpleton grouping code,OW Stage,OW Stage Minji Provisional,Minji Source,Summer only (From Scott's maps),Group code notes,Comment,Count_35N
155,Junonia,zonalis,,,Junonia,NA,3,OTH,,,,?,New Junonia? Recent revision,New Junonia? Recent revision,NA
156,Kricogonia,lyside,,,Kricogonia,lyside,2,OTH,,,,Mostly migratory above ~26N,Mostly migratory above ~26N,,NA
157,Leptotes,cassius,,,Leptotes,cassius,476,RP,,P,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,1
158,Leptotes,marina,,,Leptotes,marina,1,OTH,,,,Mostly migratory above ~27N,Mostly migratory above ~27N,,1
,,,Leptotes,sp,Leptotes,sp.,,OTH,,,,,,,
159,Lerema,accius,,,Lerema,accius,1563,RP,,P,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,567
160,Lerodea,eufala,,,Lerodea,eufala,147,OTH,?,L(?),https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,ck-scott,Overwinter stage unknown,,20
,,,Lethe,sp.,Lethe,sp,,RL,,,,,,,
165,Libytheana,carinenta,,,Libytheana,carinenta,1932,OTH,A,,,Mostly migratory above ~38N,Overwinter as adult,,1449
166,Limenitis,archippus,,,Limenitis,archippus,5959,RL,L,,,NA,,,4840
167,Limenitis,arthemis,Limenitis,arthemis,Limenitis,arthemis,15106,RL,L,,,NA,,,13014
,,,Limenitis,Limenitis,Limenitis,sp.,,RL,,,,,,,
,,,Limenitis,sp,Limenitis,sp.,,RL,,,,,,,
168,Lycaeides,melissa,Plebejus,melissa,Lycaeides,melissa,12,RE,E,,,NA, , ,12
169,Lycaeides,samuelis,Plebejus,samuelis,Lycaeides,melissa,295,RE,,E,https://animaldiversity.org/accounts/Lycaeides_melissa/,NA,,samuelis subspecies of melissa,295
230,Plebejus,idas,,,Lycaeides,idas,87,RE,E,,,NA,,,44
126,Fabricius,dorcas,Lycaena,dorcas,Lycaena,dorcas,112,RE,E,,,NA,,Fabricius?,90
127,Fabricius,dospassosi,Lycaena,dospassosi,Lycaena,dorcas,44,RE,E,,,NA,,,20
128,Fabricius,epixanthe,Lycaena,epixanthe,Lycaena,epixanthe,263,RE,E,,,NA,,,234
129,Fabricius,helloides,Lycaena,helloides,Lycaena,helloides,41,RE,E,,,NA,,,41
138,Heodes,phlaeas,,,Lycaena,phlaeas,118,RL,??,"L(?), P(?)",https://animaldiversity.org/accounts/Lycaena_phlaeas/,??,Same as Lycaena phlaes,Lycaena? That genus also listed,111
170,Lycaena,phlaeas,,,Lycaena,phlaeas,1762,RL,L,,,NA,,Another phlaeas?,1682
,,,Lycaena,sp,Lycaena,sp.,,OTH,,,,,,,
, ,,Lycaena,hyllus,Lycaena,hyllus,,RE,E,,,NA,,,
,,,Lycaena,dione,Lycaena,dione,,RE,E,,,NA,,,
,,,Lycaenidae,sp,Lycaenidae,sp.,,OTH,,,,,,,
171,Marpesia,eleuchea,,,Marpesia,eleuchea,3,OTH,,,,,Absent > 35N,Not a NA species,NA
172,Marpesia,petreus,,,Marpesia,petreus,188,OTH,,,,Mostly migratory above ~27N,Mostly migratory above ~27N,,NA
179,Megathymus,cofaqui,,,Megathymus,cofaqui,1,RL,L,,,NA,,,NA
180,Megathymus,streckeri,,,Megathymus,streckeri,2,RL,L,,,NA,,,NA
181,Megathymus,yuccae,,,Megathymus,yuccae,17,RL,L,,,NA,,,4
122,Euptychia,cymela,Megisto,cymela,Megisto,cymela,3851,RL,L,,,NA,,,3495
183,Ministrymon,azia,,,Ministrymon,azia,2,OTH,,,,Mostly migratory above 30N,Absent > 35N,,NA
3,Aglais,io,,,NA,NA,12,OTH,A,,https://www.researchgate.net/publication/328364703_The_European_Peacock_Butterfly_Aglais_io_Linnaeus_1758_in_North_America_Lepidoptera_Nymphalidae,??,OW as adult (migratory status unclear),Not an NA species,12
5,Aglais,urticae,,,NA,NA,1,OTH,??,A,https://en.wikipedia.org/wiki/Small_tortoiseshell,??,OW as adult (migratory status unclear),Not an NA species,NA
45,Calisto,herophile,,,NA,NA,1,OTH,??,,,??,Not a NA species,Not an NA species,NA
253,Prepona,laertes,,,NA,NA,1,OTH,,,,,Not a NA species,Not a NA species,NA
186,Nastra,lherminier,,,Nastra,lherminier,285,OTH,,"P, L",https://bugguide.net/node/view/27931,NA,Overwinter stage unknown,,141
187,Nastra,neamathla,,,Nastra,neamathla,5,RP,,P,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,NA
188,Nathalis,iole,,,Nathalis,iole,685,OTH,?,A,https://www.butterfliesandmoths.org/species/Nathalis-iole,Mostly migratory above ~34N,"Overwinter as adult, mostly migratory above ~34N",,188
189,Neonympha,areolatus,,,Neonympha,areolata,118,RL,,L,https://www.butterfliesandmoths.org/species/Neonympha-areolatus,NA,,,2
190,Neonympha,helicta,,,Neonympha,areolata,3,RL,,L,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,,Recently split from N. areolata - not recognized by NABA, ,1
191,Neonympha,mitchellii,,,Neonympha,mitchellii,17,RL,L,,,NA,,,13
,,,Nymphalidae,sp,Nymphalidae,sp.,,OTH,,,,,,,
4,Aglais,milberti,,,Nymphalis,milberti,722,OTH,A,,,NA,OW as adult (migratory status unclear),,655
192,Nymphalis,antiopa,,,Nymphalis,antiopa,3836,OTH,A,,,NA,Overwinter as adult,,3529
193,Nymphalis,l-album,Nymphalis,j-album,Nymphalis,vaualbum,1231,OTH,,A,https://bugguide.net/node/view/12877,NA,Overwinter as adult,,1073
194,Oarisma,garita,,,Oarisma,garita,2,RL,L,,,NA,,,2
195,Oarisma,poweshiek,,,Oarisma,poweshiek,1,RL,L,,,NA,,,1
196,Oeneis,bore,,,Oeneis,bore,2,RL,,L,https://www.butterfliesandmoths.org/species/Oeneis-bore,NA,,,NA
197,Oeneis,chryxus,Oeneis,calais,Oeneis,chryxus,45,RL,L as per BAMONA,,,NA, ,,43
198,Oeneis,jutta,Oeneis,balderi,Oeneis,jutta,68,RL,L,,,NA,,,46
199,Oeneis,macounii,,,Oeneis,macounii,22,RL,L as per BAMONA,,,NA,,,15
200,Oeneis,melissa,,,Oeneis,melissa,10,RL,L as per BAMONA,,,NA,,,5
201,Oeneis,polixenes,,,Oeneis,polixenes,5,RL,L as per BAMONA,,,NA,,,NA
,,,Oeneis,sp,Oeneis,sp.,,RL,,,,,,,
203,Oligoria,maculata,,,Oligoria,maculata,299,OTH,?,L,https://alabama.butterflyatlas.usf.edu/species/details/103/twin-spot-skipper,Mostly migratory above 35N,Mostly migratory above 35N,,3
204,Panoquina,ocola,,,Panoquina,ocola,1449,OTH,Freeze intolerant,,,Mostly migratory above 35N,Mostly migratory above 35N,,641
205,Panoquina,panoquin,,,Panoquina,panoquin,230,RL,?,L,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,51
206,Panoquina,panoquinoides,,,Panoquina,panoquinoides,30,OTH,L,,,?,Absent >35N,,NA
293,Zerynthia,polyxena,Papilio,polyxenes,Papilio,polyxenes?,9261-probably P. polyxenes?,RP,P, , ,NA,Is this species actually Papilio polyxenes?,Not a NA species,7999
202,Oeneis,polyxenes,Papilio,polyxenes,Papilio,polyxenes?,721-this seems to high to be O. polixenes,RP,P, , ,NA,Is this species actually Papilio polyxenes? Before it was coded as Oeneis polixenes (needs to be corrected in iNat summary?), ,601
207,Papilio,andraemon,,,Papilio,andraemon,8,OTH,,,,?,Absent >35N,,NA
208,Papilio,appalachiensis,,,Papilio,glaucus,31,RP,,P,https://www.butterfliesandmoths.org/species/Papilio-appalachiensis, ,,,28
209,Papilio,aristodemus,,,Papilio,aristodemus,17,RP,P,,,NA,,,NA
210,Papilio,brevicauda,,,Papilio,brevicauda,76,RP,,P,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117901/Papilio_brevicauda,NA,,,27
211,Papilio,canadensis,,,Papilio,canadensis,2263,RP,P,,,NA,,,1836
212,Papilio,cresphontes,,,Papilio,cresphontes,4317,RP,P,,,Mostly migratory west of ~97W,,I find it hard to believe there are this many cresphontes!,3201
213,Papilio,glaucus,Papilio,glaucus,Papilio,glaucus,19260,RP,P,,,NA,,,16131
214,Papilio,machaon,,,Papilio,machaon,4,RP,P,,,NA,,,NA
215,Papilio,multicaudata,,,Papilio,multicaudata,1,RP,P,,,NA,,,1
216,Papilio,palamedes,,,Papilio,palamedes,1303,OTH,P,,,"Mostly migratory above ~29N in central corridor, 40N along east coast",,Changed from RP to OTH,155
217,Papilio,troilus,,,Papilio,troilus,6850,RP,P,,,NA,,,5337
,,,Papilio,zelicaon,Papilio,zelicaon,,OTH,,,,Stray only,,,
,,,Papilio,rutulus,Papilio,rutulus,,OTH,P,,,Stray into area,,,
,,,Papilio,sp(.),Papilio,sp.,,RP,,,,,,,
,,,Papilio,tiger,Papilio,sp.,,RP,,,,,,,
,,,Papilio,Papilio,Papilio,sp.,,RP,,,,,,,
,,,Papilionidae,sp,Papilionidae,sp.,,OTH,,,,,,,
,,,Parrhasius,m-album,Parrhasius,m-album,,RP,U?,P,http://entnemdept.ufl.edu/creatures/bfly/white_m_hairstreak.htm,Partially migratory,,,
,,,Parrhasius,sp,Parrhasius,m-album,,RP,,,,,,,
218,Phocides,pigmalion,,,Phocides,pigmalion,181,OTH,?,,,NA,Overwinter stage unknown,,NA
17,Aphrissa,neleis,,,Phoebis,neleis,8,OTH,?,,,NA,Absent >35N,,NA
18,Aphrissa,statira,,,Phoebis,statira,52,OTH,?,,,Mostly migratory above ~ 26N,Migratory above ~26N,,NA
219,Phoebis,agarithe,,,Phoebis,agarithe,88,OTH,,A,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,Mostly migratory above ~27N,Mostly migratory above ~27N,,NA
220,Phoebis,philea,,,Phoebis,philea,163,OTH,,"Breeds year round, A(?)",https://docs.google.com/spreadsheets/d/1txlclLbTnxk1hZM0aJNE4ME7jgalam7X5YXugYMtGsQ/edit#gid=726261303,Mostly migratory above ~27N,Mostly migratory above ~27N,,NA
221,Phoebis,sennae,,,Phoebis,sennae,3473,OTH,,"A, P(?)",https://floridata.com/articles/butterflies/CloudlessSulphur.html,Mostly migrotory above ~30N,Mostly migrotory above ~30N,,1701
222,Pholisora,catullus,,,Pholisora,catullus,664,RL,L,,,NA,,,639
14,Anthanassa,frisia,,,Phyciodes,frisia,12,OTH,?,,,NA,Overwinter stage unknown,,NA
15,Anthanassa,texana,,,Phyciodes,texana,13,OTH,?,L,https://alabama.butterflyatlas.usf.edu/species/details/14/texan-crescent,Mostly migratory above ~34N,Migratory above ~34N,,NA
182,Melitaea,texana,,,Phyciodes,texana,26,OTH,,,,Mostly migratory > 35N,Mostly migratory > 35N,Not a NA genus! = Phyciodes,NA
223,Phyciodes,batesii,,,Phyciodes,batesii,28,RL,L,,,NA,,,27
224,Phyciodes,cocyta,Phyciodes,cocyta,Phyciodes,selenis,2783,RL,L,,,NA,,#NAME?,2433
225,Phyciodes,phaon,,,Phyciodes,phaon,1011,OTH,,"L, A(?)",http://www.lopers.net/student_org/NebraskaInverts/butterfiles/family/brushfoot/phyciodes/phaon.htm,"Mostly migratory above ~32N, 36N along east coast",Mostly migrotory above ~35N,,19
226,Phyciodes,tharos,,,Phyciodes,tharos,10380,RL,L,,,NA,,,8751
,,,Phyciodes,sp(.),Phyciodes,sp.,,OTH,,,,,,,
,,,Pieridae,sp(.),Pieridae,sp.,,OTH,,,,,,,
227,Pieris,oleracea,,,Pieris,napi,550,RP,P,,,NA,,mustard white,506
228,Pieris,rapae,,,Pieris,rapae,11904,RP,P,,,NA,,So few because so common?,11603
229,Pieris,virginiensis,,,Pieris,virginiensis,247,RP,P,,,NA,,,230
,,,Pieris,sp(.),Pieris,sp.,,RP,,,,,,,
148,Icaricia,saepiolus,Plebejus,saepiolus,Plebejus,saepiolus,13,RL,L,,,NA,,,1
231,Poanes,aaroni,,,Poanes,aaroni,62,RL,?,L,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,22
232,Poanes,massasoit,,,Poanes,massasoit,207,RL,?,,,NA,,,207
233,Poanes,viator,,,Poanes,viator,765,RL,?,L,https://alabama.butterflyatlas.usf.edu/species/details/121/broad-winged-skipper,NA,,,677
234,Poanes,yehl,,,Poanes,yehl,50,RL,?,L,https://alabama.butterflyatlas.usf.edu/species/details/122/yehl-skipperPoanes%20yehl,NA,,,11
,,,Poanes,sp,Poanes,sp.,,RL,,,,,,,
, ,,Poanes,hobomok,Poanes,hobomok,,RL,U (code inferred), ,,NA,,,
,,,Poanes,zabulon,Poanes,zabulon,,RL,U?,L,http://www.lopers.net/student_org/NebraskaInverts/butterfiles/family/skipper/poanes/zabulon.htm,NA,,,
235,Polites,baracoa,,,Polites,baracoa,98,RL,?,L,https://bugguide.net/node/view/13054,NA,,,NA
236,Polites,mystic,,,Polites,mystic,981,RL,L,,,NA,,,907
237,Polites,origenes,,,Polites,origenes,129,RL,,L,https://www.butterfliesandmoths.org/species/Polites-origenes,NA,,,118
238,Polites,peckius,,,Polites,peckius,5268,OTH,L/P,,,NA,Overwinter stage not clear,,5199
239,Polites,themistocles,,,Polites,themistocles,1404,RP,P,,,NA,,,1217
240,Polites,vibex,,,Polites,vibex,713,OTH,,P,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,Migratory N of (varies),Mostly migrotory above ~35N,,11
,,,Polites,sp,Polites,sp.,,OTH,,,,,,,
241,Polygonia,comma,,,Polygonia,comma,4933,OTH,A,,,NA,Overwinter as adult,,4821
242,Polygonia,faunus,,,Polygonia,faunus,388,OTH,A,,,NA,Overwinter as adult,,239
243,Polygonia,gracilis,,,Polygonia,gracilis,10,OTH,A,,,NA,Overwinter as adult,,NA
244,Polygonia,interrogationis,,,Polygonia,interrogationis,4695,OTH,A,,,NA,Overwinter as adult,,4044
245,Polygonia,l-album,,,Polygonia,NA,4,OTH,,,,,Not a NA species,Not a NA species,1
246,Polygonia,progne,Polygonia,oreas,Polygonia,progne,961,OTH,A,,,NA,Overwinter as adult,,895
247,Polygonia,satyrus,,,Polygonia,satyrus,13,OTH,A,,,NA,Overwinter as adult,,3
,,,Polygonia,sp(.),Polygonia,sp.,,OTH,,,,,,,
248,Polygonus,leo,,,Polygonus,leo,79,RL,?,L,https://docs.google.com/spreadsheets/d/1txlclLbTnxk1hZM0aJNE4ME7jgalam7X5YXugYMtGsQ/edit#gid=726261303,NA,,,NA
,,,Polyommatus,sp,Polyommatinae,sp.,,OTH,,,,,,,
249,Polyommatus,icarus,,,Polyommatus,icarus,444,RL,,L,https://www.first-nature.com/insects/lb-polyommatus-icarus.php,,An invasive species has established near Montreal,Not a NA genus or species,442
250,Pompeius,verna,,,Pompeius,verna,933,OTH,,"P(?), L",https://www.massaudubon.org/learn/nature-wildlife/insects-arachnids/butterflies/find-a-butterfly/(id)/60,NA,Overwinter stage not clear,,870
251,Pontia,occidentalis,,,Pontia,occidentalis,7,OTH,,P,https://www.butterfliesandmoths.org/species/Pontia-occidentalis,Stray  ,Changed to stray (OTH),,1
252,Pontia,protodice,,,Pontia,protodice,333,OTH,P,,,Mostly migratory >35,Changed to mostly migratory >35 (OTH),,142
254,Problema,bulenta,,,Problema,bulenta,13,RL,?,L,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120878/Problema_bulenta,NA,,,5
255,Problema,byssus,,,Problema,byssus,161,RL,L,,,NA,,,26
257,Pyrgus,centaureae,Pyrgus,centaureae,Pyrgus,centaureae,10,RL,,L,https://animaldiversity.org/accounts/Pyrgus_centaureae/,NA,,,1
,,,Pyrgus,communis,Pyrgus,communis,,RL,,,,NA,,,
,,,Pyrgus,albescens,Pyrgus,albescens,,OTH,,,,Stray into area,,,
131,Fixsenia,favonius,Satyrium,favonius,Satyrium,favonius,161,RE,E,,,NA,,,70
135,Harkenclenus,titus,Satyrium,titus,Satyrium,titus,553,RE,E,,,NA,,,524
262,Satyrium,acadica,,,Satyrium,acadica,306,RE,E,,,NA,,,301
263,Satyrium,calanus,,,Satyrium,calanus,1732,RE,E,,,NA,,,1650
264,Satyrium,caryaevorus,,,Satyrium,caryaevorus,183,RE,,E,https://www.butterfliesandmoths.org/species/Satyrium-caryaevorus,NA,,,183
265,Satyrium,edwardsii,,,Satyrium,edwardsii,302,RE,E,,,NA,,,302
266,Satyrium,liparops,,,Satyrium,liparops,584,RE,E,,,NA,,,523
,,,Satyrium,sp(.),Satyrium,sp.,,RE,,,,,,,
164,Lethe,eurydice,,,Satyrodes,eurydice,792,RL,L,,,NA,,,763
267,Siproeta,stelenes,,,Siproeta,stelenes,16,OTH,broods year round,,,NA,Absent >35N,,NA
268,Speyeria,aphrodite,,,Speyeria,aphrodite,630,RL,L,,,NA,,,588
269,Speyeria,atlantis,,,Speyeria,atlantis,1094,RL,L,,,NA,,,860
270,Speyeria,cybele,,,Speyeria,cybele,5177,RL,L,,,NA,,,4870
271,Speyeria,diana,,,Speyeria,diana,159,RL,L,,,NA,,,113
272,Speyeria,idalia,,,Speyeria,idalia,130,RL,L,,,NA,,,130
,,,Speyeria,Speyeria,Speyeria,sp.,,RL,,,,,,,
,,,Speyeria,sp,Speyeria,sp.,,RL,,,,,,,
273,Staphylus,hayhurstii,,,Staphylus,hayhurstii,97,RL,L,,,NA,,,65
46,Callicista,istapa,,,Strymon,istapa,132,Oth,?,,,Stray above 35,Overwinter stage unknown,Cannot find anything on this species,NA
274,Strymon,acis,,,Strymon,acis,19,OTH,,,,?,Absent >35N,,NA
275,Strymon,calanus,,,Strymon,calanus,3,RE,E,,,,,Satyrium,2
276,Strymon,kingi,Satyrium,kingi,Strymon,kingi,43,OTH,,,,NA,Overwinter stage unknown,Satyrium,13
277,Strymon,melinus,,,Strymon,melinus,3150,RP,P,,,NA,,,2141
280,Thecla,martialis,,,Strymon,martialis,20,RL,L,,,NA,,Strymon,NA
281,Thorybes,bathyllus,,,Thorybes,bathyllus,273,RL,L,,,NA,,,150
282,Thorybes,confusis,,,Thorybes,confusis,106,RL, ,L,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,2
283,Thorybes,pylades,,,Thorybes,pylades,1082,RL,L,,,NA,,,866
,,,Thorybes,sp.,Thorybes,sp.,,RL,,,,,,,
284,Thymelicus,lineola,,,Thymelicus,lineola,2310,RE,E,,,NA,,,2192
285,Urbanus,dorantes,,,Urbanus,dorantes,330,OTH,A,,,Mostly migratory above ~28N,Overwinter as adult and mostly migratory above 28N,,NA
286,Urbanus,proteus,,,Urbanus,proteus,2191,OTH,Freeze intolerant,,,Mostly migratory above 31-33N (varies up east coast),Mostly migratory >35N,,310
287,Vanessa,atalanta,,,Vanessa,atalanta,10704,OTH,A,,,ck-scott,Overwinters as adult and mostly migratory,A migrant in our study range,9673
288,Vanessa,cardui,,,Vanessa,cardui,8345,OTH,A,,,All migratory,Overwinters as adult and mostly migratory,A migrant in our study range,7641
289,Vanessa,virginiensis,,,Vanessa,virginiensis,5443,OTH,A,,,Mostly migratory above 48N,Overwinters as adult  ,,4453
,,,Vanessa,sp,Vanessa,sp.,,OTH,,,,,,,
290,Wallengrenia,egeremet,,,Wallengrenia,egeremet,711,RL,L,,,NA,,,635
291,Wallengrenia,otho,,,Wallengrenia,otho,384,OTH,,L,https://alabama.butterflyatlas.usf.edu/species/details/153/southern-broken-dash,Mostly migratory above 34-36N,Mostly migratory >35N,,56
,,,Wallengrenia,sp,Wallengrenia,sp.,,OTH,,,,,,,
